id;topic;timeframe;item_type;source_id;title;description;source_name;source_url;category;score;num_comments;author;item_metadata;fetched_at;published_at;created_at
06ff116a-9461-46b1-8228-5588b42641dd;ai risk management;7d;news;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;Apple’s 3 biggest wins and 3 greatest failures of 2025;The tech industry has endured another turbulent year, buffeted by the continued rise of artificial intelligence and the economic threats posed by President Donald Trump’s tariffs. Even the most promi;Fast Company;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;business;0;0;;{};2025-12-21 02:51:55.295621+00;2025-12-20 10:00:00+00;2025-12-21 02:51:55.295621+00
66a0552e-9ad2-4214-a7bb-10904df27943;ai risk management;7d;news;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;Where are investors placing their bets next year? AI, AI, AI.;Investors at TechCrunch Disrupt explained their focus on artificial intelligence and offered advice to founders on how to stand out in a crowded AI field.;TechCrunch;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;technology;0;0;;{};2025-12-21 02:51:55.295621+00;2025-12-19 22:00:00+00;2025-12-21 02:51:55.295621+00
58fbf3bf-36c1-434f-b5e8-9fde357d6d5d;artificial intelligence;7d;news;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;Apple’s 3 biggest wins and 3 greatest failures of 2025;The tech industry has endured another turbulent year, buffeted by the continued rise of artificial intelligence and the economic threats posed by President Donald Trump’s tariffs. Even the most promi;Fast Company;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;business;0;0;;{};2025-12-21 02:51:55.295621+00;2025-12-20 10:00:00+00;2025-12-21 02:51:55.295621+00
37aa6cbb-2123-42ba-b2ff-9a9ba05e7a68;artificial intelligence;7d;news;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;Where are investors placing their bets next year? AI, AI, AI.;Investors at TechCrunch Disrupt explained their focus on artificial intelligence and offered advice to founders on how to stand out in a crowded AI field.;TechCrunch;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;technology;0;0;;{};2025-12-21 02:51:55.295621+00;2025-12-19 22:00:00+00;2025-12-21 02:51:55.295621+00
b90f0966-ab41-470f-b804-f62fcfde32d5;ai in business;7d;news;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;Sequoia partner spreads debunked Brown shooting theory, testing new leadership;The newest episode raises questions about whether Sequoia's new leadership -- managing partners Alfred Lin and Pat Grady, who took over last month -- can or will rein in Maguire's social media activit;TechCrunch;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;technology;0;0;;{};2025-12-21 02:51:57.284301+00;2025-12-20 02:31:43+00;2025-12-21 02:51:57.284301+00
fd6ee47c-0c19-4e1d-8574-89fec6b91d44;leadership;7d;news;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;Sequoia partner spreads debunked Brown shooting theory, testing new leadership;The newest episode raises questions about whether Sequoia's new leadership -- managing partners Alfred Lin and Pat Grady, who took over last month -- can or will rein in Maguire's social media activit;TechCrunch;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;technology;0;0;;{};2025-12-21 02:51:57.284301+00;2025-12-20 02:31:43+00;2025-12-21 02:51:57.284301+00
61f2e9e6-e6f9-4f78-bfe0-07588bd3db29;remote work;7d;news;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;Sequoia partner spreads debunked Brown shooting theory, testing new leadership;The newest episode raises questions about whether Sequoia's new leadership -- managing partners Alfred Lin and Pat Grady, who took over last month -- can or will rein in Maguire's social media activit;TechCrunch;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;technology;0;0;;{};2025-12-21 02:51:57.284301+00;2025-12-20 02:31:43+00;2025-12-21 02:51:57.284301+00
3278851f-a037-4618-8f81-21d313579db7;career growth;7d;news;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;Sequoia partner spreads debunked Brown shooting theory, testing new leadership;The newest episode raises questions about whether Sequoia's new leadership -- managing partners Alfred Lin and Pat Grady, who took over last month -- can or will rein in Maguire's social media activit;TechCrunch;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;technology;0;0;;{};2025-12-21 02:51:57.284301+00;2025-12-20 02:31:43+00;2025-12-21 02:51:57.284301+00
8e05f5f7-ab36-4846-a437-f95a86824eac;productivity;7d;news;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;Sequoia partner spreads debunked Brown shooting theory, testing new leadership;The newest episode raises questions about whether Sequoia's new leadership -- managing partners Alfred Lin and Pat Grady, who took over last month -- can or will rein in Maguire's social media activit;TechCrunch;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;technology;0;0;;{};2025-12-21 02:51:57.284301+00;2025-12-20 02:31:43+00;2025-12-21 02:51:57.284301+00
ce20ee69-afff-4665-88ed-887ea933d988;tech trends;7d;news;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;Sequoia partner spreads debunked Brown shooting theory, testing new leadership;The newest episode raises questions about whether Sequoia's new leadership -- managing partners Alfred Lin and Pat Grady, who took over last month -- can or will rein in Maguire's social media activit;TechCrunch;https://techcrunch.com/2025/12/19/sequoia-partner-spreads-debunked-brown-shooting-theory-testing-new-leadership/;technology;0;0;;{};2025-12-21 02:51:57.284301+00;2025-12-20 02:31:43+00;2025-12-21 02:51:57.284301+00
3a52a0ed-9b64-497f-ae28-1af28d6ac458;ai risk management;24h;news;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;Apple’s 3 biggest wins and 3 greatest failures of 2025;The tech industry has endured another turbulent year, buffeted by the continued rise of artificial intelligence and the economic threats posed by President Donald Trump’s tariffs. Even the most promi;Fast Company;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;business;0;0;;{};2025-12-21 02:53:00.203533+00;2025-12-20 10:00:00+00;2025-12-21 02:53:00.203533+00
a6c30e6a-0b26-4a5f-afe4-826dfebfd3de;artificial intelligence;24h;news;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;Apple’s 3 biggest wins and 3 greatest failures of 2025;The tech industry has endured another turbulent year, buffeted by the continued rise of artificial intelligence and the economic threats posed by President Donald Trump’s tariffs. Even the most promi;Fast Company;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;business;0;0;;{};2025-12-21 02:53:00.203533+00;2025-12-20 10:00:00+00;2025-12-21 02:53:00.203533+00
046e6bd1-b896-47b9-9e4e-794f21c63e8d;ai risk management;30d;news;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;Apple’s 3 biggest wins and 3 greatest failures of 2025;The tech industry has endured another turbulent year, buffeted by the continued rise of artificial intelligence and the economic threats posed by President Donald Trump’s tariffs. Even the most promi;Fast Company;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;business;0;0;;{};2025-12-21 02:53:05.213505+00;2025-12-20 10:00:00+00;2025-12-21 02:53:05.213505+00
f92b55c9-f90b-478d-bcc9-82cfbd5e2803;ai risk management;30d;news;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;Where are investors placing their bets next year? AI, AI, AI.;Investors at TechCrunch Disrupt explained their focus on artificial intelligence and offered advice to founders on how to stand out in a crowded AI field.;TechCrunch;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;technology;0;0;;{};2025-12-21 02:53:05.213505+00;2025-12-19 22:00:00+00;2025-12-21 02:53:05.213505+00
8c16c726-c76f-4b80-8b62-a0dfaab60e9a;artificial intelligence;30d;news;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;Apple’s 3 biggest wins and 3 greatest failures of 2025;The tech industry has endured another turbulent year, buffeted by the continued rise of artificial intelligence and the economic threats posed by President Donald Trump’s tariffs. Even the most promi;Fast Company;https://www.fastcompany.com/91448143/apple-3-biggest-wins-3-greatest-failures-2025-intelligence-iphone-17-liquid-glass-os;business;0;0;;{};2025-12-21 02:53:05.213505+00;2025-12-20 10:00:00+00;2025-12-21 02:53:05.213505+00
d707e643-84f0-4fb7-ba0f-e1d51313468a;artificial intelligence;30d;news;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;Where are investors placing their bets next year? AI, AI, AI.;Investors at TechCrunch Disrupt explained their focus on artificial intelligence and offered advice to founders on how to stand out in a crowded AI field.;TechCrunch;https://techcrunch.com/2025/12/19/where-are-investors-placing-their-bets-next-year-ai-ai-ai/;technology;0;0;;{};2025-12-21 02:53:05.213505+00;2025-12-19 22:00:00+00;2025-12-21 02:53:05.213505+00